ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),GII Rank (2021),Gender Inequality Index (1990),Gender Inequality Index (1991),Gender Inequality Index (1992),Gender Inequality Index (1993),Gender Inequality Index (1994),Gender Inequality Index (1995),Gender Inequality Index (1996),Gender Inequality Index (1997),Gender Inequality Index (1998),Gender Inequality Index (1999),Gender Inequality Index (2000),Gender Inequality Index (2001),Gender Inequality Index (2002),Gender Inequality Index (2003),Gender Inequality Index (2004),Gender Inequality Index (2005),Gender Inequality Index (2006),Gender Inequality Index (2007),Gender Inequality Index (2008),Gender Inequality Index (2009),Gender Inequality Index (2010),Gender Inequality Index (2011),Gender Inequality Index (2012),Gender Inequality Index (2013),Gender Inequality Index (2014),Gender Inequality Index (2015),Gender Inequality Index (2016),Gender Inequality Index (2017),Gender Inequality Index (2018),Gender Inequality Index (2019),Gender Inequality Index (2020),Gender Inequality Index (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021),Longitude,Latitude
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,91.0,,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,70.0,0.334,0.343,0.365,0.377,0.392,0.389,0.387,0.386,0.377,0.368,0.354,0.353,0.35,0.355,0.348,0.349,0.346,0.353,0.352,0.354,0.338,0.339,0.34,0.342,0.345,0.335,0.328,0.311,0.307,0.314,0.301,0.294,3.727167133,3.73117071,3.702155473,3.515669662,3.491245651,3.537645367,3.549496613,3.56506161,3.56506161,3.56506161,3.56506161,3.56506161,49.8932,40.3834
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,187.0,13.24395,13.24395,14.14229,14.14229,14.14229,14.14229,14.14229,20.92933,20.92933,20.92933,20.92933,20.92933,127.0,,,,,,,,,0.623,0.655,0.616,0.612,0.611,0.597,0.593,0.562,0.557,0.552,0.547,0.548,0.54,0.537,0.533,0.528,0.525,0.517,0.514,0.51,0.508,0.507,0.506,0.505,40.97,40.97,36.86809,36.86809,36.86809,36.86809,36.86809,39.48821,39.48821,39.48821,39.48821,39.48821,29.3639,-3.3784
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13.0,11.92822,12.29837,12.29837,11.92036,12.25388,12.25388,12.03734,11.39067,11.00229,11.00229,10.30447,10.30447,10.0,0.18,0.179,0.175,0.168,0.162,0.159,0.16,0.158,0.157,0.129,0.134,0.137,0.131,0.109,0.105,0.103,0.102,0.101,0.1,0.096,0.092,0.09,0.085,0.075,0.068,0.063,0.06,0.057,0.053,0.048,0.048,0.048,7.627,9.1745,9.1745,8.09488,9.27642,8.0071,8.6933,7.68431,8.18013,8.18013,5.87561,5.87561,4.36761,50.8371
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166.0,23.61438,29.39195,29.39195,29.39195,30.29266,30.29266,30.29266,31.97436,31.97436,31.97436,31.97436,31.97436,152.0,0.694,0.691,0.689,0.688,0.684,0.68,0.677,0.673,0.672,0.677,0.673,0.671,0.668,0.667,0.657,0.654,0.65,0.629,0.626,0.622,0.619,0.626,0.623,0.62,0.618,0.622,0.618,0.615,0.613,0.61,0.609,0.602,,44.79226,44.79226,44.79226,43.65639,43.65639,43.65639,43.69355,43.69355,43.69355,43.69355,43.69355,2.6323,6.4779
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184.0,24.18928,24.18928,24.18928,24.18928,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,157.0,,,,,,,,,,0.68,0.675,0.666,0.657,0.652,0.647,0.641,0.636,0.64,0.628,0.621,0.617,0.613,0.608,0.605,0.601,0.619,0.613,0.6,0.598,0.585,0.621,0.621,20.96640874,20.96640874,20.96640874,20.96640874,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,39.15279412,-1.53395,12.3605
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129.0,,28.26605,28.26605,28.26605,15.65692,15.65692,15.65692,15.65692,15.24444,16.55655,16.55655,16.55655,131.0,0.73,0.725,0.721,0.716,0.712,0.708,0.702,0.699,0.695,0.691,0.689,0.685,0.739,0.737,0.734,0.644,0.637,0.634,0.665,0.611,0.607,0.594,0.589,0.583,0.568,0.557,0.551,0.534,0.533,0.531,0.531,0.53,39.4,38.55827,38.55827,38.55827,37.30855,37.30855,37.30855,37.30855,35.55633,37.31177,37.31177,37.31177,90.4113,23.7055
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68.0,15.4492,18.79969,17.7552,18.24153,19.95693,21.42273,22.19231,23.90426,21.61938,21.61938,23.00311,23.00311,52.0,0.368,0.362,0.361,0.353,0.353,0.342,0.336,0.335,0.326,0.328,0.322,0.255,0.247,0.242,0.243,0.248,0.244,0.243,0.247,0.247,0.24,0.237,0.226,0.213,0.232,0.218,0.216,0.208,0.21,0.205,0.204,0.21,6.14738,5.80724,5.51671,5.46531,6.42343,6.7133,6.51633,6.32881,6.09875,6.09875,5.93179,5.93179,23.3238,42.7105
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35.0,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,0.346,0.355,0.34,0.301,0.261,0.263,0.268,0.252,0.227,0.241,0.242,0.23,0.238,0.236,0.228,0.2,0.186,0.185,0.181,22.1544907,22.1544907,22.1544907,22.1544907,22.1544907,22.1544907,17.439716,15.87218065,12.56789221,12.56789221,12.56789221,12.56789221,50.5354,26.1921
BHS,Bahamas,America,Northern Hemisphere,Very High,LAC,55.0,,,,,,,,,,,,,78.0,0.404,0.407,0.418,0.418,0.411,0.404,0.401,0.396,0.392,0.385,0.383,0.384,0.382,0.381,0.361,0.361,0.349,0.356,0.359,0.375,0.369,0.362,0.372,0.355,0.365,0.356,0.349,0.326,0.325,0.324,0.325,0.329,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,,
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74.0,,16.69773918,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,38.0,,,,,,,,,,,,0.351,0.346,0.281,0.279,0.271,0.268,0.267,0.253,0.223,0.222,0.188,0.185,0.173,0.167,0.165,0.167,0.162,0.162,0.146,0.138,0.136,21.47852902,20.6874517,20.6874517,20.6874517,19.8886135,21.09802134,16.97493881,16.97493881,14.78890508,14.78890508,14.78890508,14.78890508,18.4214,43.8607
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,60.0,12.02035035,10.91539614,10.78175,10.78175,10.83848169,10.83848169,10.83848169,10.83848169,10.83848169,9.64549,9.64549,9.64549,29.0,,,,,,,,,,,,0.245,0.236,0.221,0.176,0.164,0.158,0.158,0.153,0.156,0.151,0.151,0.159,0.157,0.149,0.139,0.121,0.111,0.105,0.103,0.104,0.104,,,3.67781,3.67781,3.67781,3.67781,3.67781,3.67781,3.67781,2.77203,2.77203,2.77203,27.5766,53.9678
BLZ,Belize,America,Northern Hemisphere,Medium,LAC,123.0,,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,86.0,0.548,0.555,0.558,0.557,0.553,0.547,0.537,0.531,0.526,0.513,0.511,0.509,0.501,0.514,0.495,0.49,0.478,0.46,0.468,0.462,0.455,0.453,0.437,0.433,0.426,0.418,0.41,0.414,0.415,0.406,0.387,0.364,,15.85449,15.85449,15.85449,15.85449,14.81278,14.81278,14.81278,14.81278,14.81278,14.81278,14.81278,-88.7713,17.2534
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118.0,38.157178,33.642938,35.305419,35.789912,35.394263,34.64197,33.497255,32.212262,29.133537,26.863258,26.863258,26.863258,99.0,,,,,,,,,,0.593,0.589,0.584,0.55,0.545,0.54,0.545,0.54,0.538,0.532,0.496,0.486,0.482,0.479,0.474,0.437,0.439,0.43,0.424,0.419,0.421,0.425,0.418,23.6719,21.6249,20.53567,19.90639,20.20261,19.81948,19.3384,19.30221,17.56781,16.54294,16.54294,16.54294,-66.1936,-13.9908
BRA,Brazil,America,Southern Hemisphere,High,LAC,87.0,41.236103,40.273233,40.655871,39.532759,38.620331,38.603968,40.538964,40.82554,41.636454,41.306376,41.306376,41.306376,94.0,0.552,0.549,0.545,0.543,0.538,0.533,0.529,0.523,0.518,0.516,0.507,0.496,0.493,0.474,0.473,0.471,0.469,0.465,0.461,0.458,0.45,0.447,0.444,0.444,0.44,0.437,0.431,0.421,0.401,0.395,0.395,0.39,21.08318,22.42192,19.91471,19.29072,18.49606,18.04837,18.39506,16.9775,16.06656,15.65257,15.65257,15.65257,-47.9292,-15.7801
BRB,Barbados,America,Northern Hemisphere,High,LAC,70.0,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,64.0,0.407,0.405,0.405,0.401,0.397,0.391,0.388,0.383,0.379,0.366,0.361,0.359,0.354,0.355,0.348,0.342,0.338,0.338,0.349,0.325,0.32,0.316,0.313,0.3,0.294,0.299,0.296,0.289,0.272,0.266,0.268,0.268,,,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,-59.6105,13.0935
BRN,Brunei,Asia,Northern Hemisphere,Very High,EAP,51.0,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282,0.253,0.255,0.258,0.259,0.259,,,,,,,,,,,,,,
BTN,Bhutan,Asia,Northern Hemisphere,Medium,SA,127.0,25.09595,25.09595,21.00062092,21.00062092,21.00062092,21.00062092,21.00062092,19.95514103,19.95514103,19.95514103,19.95514103,19.95514103,98.0,,,,,,,,,,,,,,,,,,,,,0.526,0.513,0.496,0.53,0.51,0.498,0.486,0.473,0.429,0.423,0.422,0.415,44.81067,44.81067,44.81067,44.81067,44.81067,44.81067,44.81067,48.22657529,48.22657529,48.22657529,48.22657529,48.22657529,89.6177,27.5768
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117.0,55.511,55.511,55.511,55.511,55.511,,,,,,,,117.0,0.589,0.578,0.572,0.568,0.564,0.561,0.558,0.557,0.556,0.555,0.517,0.517,0.515,0.512,0.528,0.521,0.513,0.508,0.505,0.516,0.511,0.507,0.503,0.499,0.485,0.489,0.48,0.468,0.474,0.47,0.469,0.468,32.082,32.082,32.082,32.082,32.082,23.27683,23.27683,23.27683,23.27683,23.27683,23.27683,23.27683,25.9201,-24.6544
CAF,Central African Republic,Africa,Northern Hemisphere,Low,SSA,188.0,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,166.0,0.751,0.749,0.748,0.747,0.745,0.743,0.742,0.74,0.739,0.711,0.71,0.71,0.709,0.709,0.709,0.694,0.694,0.695,0.696,0.7,0.701,0.688,0.686,0.687,0.684,0.68,0.701,0.691,0.69,0.69,0.69,0.672,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,34.5496,35.19785,35.19785,35.19785,21.6407,5.63056
CAN,Canada,America,Northern Hemisphere,Very High,,15.0,17.394,17.394,17.394,18.221,18.221,17.752,16.83,17.077,17.077,17.077,17.077,17.077,17.0,0.193,0.189,0.188,0.185,0.185,0.182,0.176,0.169,0.162,0.157,0.15,0.145,0.14,0.136,0.129,0.133,0.135,0.136,0.143,0.143,0.133,0.123,0.12,0.115,0.109,0.103,0.087,0.083,0.073,0.069,0.07,0.069,3.856,3.856,3.856,2.678,2.678,2.696,2.58,2.521,2.521,2.521,2.521,2.521,-75.6919,45.4215
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1.0,,13.24658,12.32452,11.10079,12.19519,12.19519,14.48262,14.48262,14.77567,14.77567,15.58172,15.58172,3.0,0.124,0.13,0.126,0.12,0.113,0.109,0.107,0.106,0.105,0.108,0.103,0.095,0.093,0.084,0.083,0.079,0.073,0.065,0.062,0.059,0.057,0.054,0.052,0.044,0.042,0.039,0.039,0.034,0.032,0.018,0.018,0.018,,,,2.34809,2.37852,2.366899217,1.93114,1.93114,1.82879,1.82879,2.01457,2.01457,7.44821,46.948
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42.0,31.400611,30.182054,30.182054,29.810621,29.810621,28.209983,28.209983,28.273047,28.273047,28.273047,28.273047,28.273047,47.0,0.512,0.506,0.497,0.493,0.488,0.483,0.476,0.467,0.446,0.44,0.429,0.43,0.409,0.395,0.388,0.37,0.367,0.361,0.356,0.347,0.339,0.327,0.32,0.3,0.288,0.277,0.259,0.243,0.207,0.206,0.21,0.187,13.36599543,14.94046313,14.94046313,12.67934912,12.67934912,11.98775734,11.98775734,11.73821662,11.73821662,11.73821662,11.73821662,11.73821662,-70.6475,-33.475
CHN,China,Asia,Northern Hemisphere,High,EAP,79.0,24.11692794,24.11692794,23.31946951,27.391,27.391,27.391,27.391,27.391,27.391,27.391,27.391,27.391,48.0,,,,,,,,,0.278,0.275,0.275,0.271,0.264,0.263,0.259,0.26,0.258,0.256,0.257,0.255,0.253,0.245,0.245,0.235,0.233,0.224,0.221,0.217,0.206,0.203,0.197,0.192,11.46872762,11.46872762,11.46872762,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,116.286,40.0495
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159.0,34.39171,34.39171,27.38935,27.38935,27.38935,27.38935,27.04145,27.04145,27.04145,27.04145,27.04145,27.04145,155.0,0.696,0.694,0.692,0.689,0.686,0.684,0.681,0.68,0.679,0.679,0.678,0.675,0.675,0.674,0.672,0.669,0.667,0.663,0.661,0.66,0.66,0.649,0.649,0.647,0.649,0.648,0.645,0.635,0.632,0.621,0.619,0.613,43.2,43.2,45.11142,45.11142,45.11142,45.11142,45.60904,45.60904,45.60904,45.60904,45.60904,45.60904,,
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151.0,,23.11988,23.11988,23.1,35.86472,35.86472,35.86472,35.86472,34.98911,34.98911,34.98911,34.98911,148.0,0.704,0.705,0.704,0.704,0.703,0.702,0.701,0.699,0.698,0.696,0.693,0.69,0.667,0.664,0.66,0.656,0.653,0.629,0.628,0.627,0.627,0.625,0.621,0.586,0.584,0.582,0.579,0.578,0.572,0.57,0.566,0.565,,33.66053,33.66053,33.66053,32.95967,32.95967,32.95967,32.95967,31.71699,31.71699,31.71699,31.71699,11.5174,3.8721
COD,The Democratic Republic of the Congo,Africa,Northern Hemisphere,Low,SSA,179.0,31.15031,31.15031,31.15031,31.15031,28.21161,28.21161,28.21161,27.63249,27.63249,27.63249,27.63249,27.63249,151.0,,,,,,,,,,,,,,,0.653,0.65,0.664,0.659,0.658,0.657,0.656,0.655,0.65,0.646,0.634,0.637,0.633,0.63,0.628,0.61,0.602,0.601,29.396,29.396,29.396,29.396,27.69055,27.69055,27.69055,26.76947,26.76947,26.76947,26.76947,26.76947,,
COG,Congo,Africa,Southern Hemisphere,Medium,SSA,153.0,27.436,27.436,30.692,30.692,30.99925,30.99925,30.99925,30.99925,30.99925,30.99925,30.99925,30.99925,147.0,,,,,,,,,0.624,0.624,0.62,0.622,0.622,0.627,0.624,0.623,0.619,0.62,0.619,0.617,0.615,0.608,0.604,0.6,0.588,0.584,0.58,0.566,0.565,0.565,0.565,0.564,25.4,25.4,21.52094,21.52094,20.93222,20.93222,20.93222,20.93222,20.93222,20.93222,20.93222,20.93222,,
COL,Colombia,America,Northern Hemisphere,High,LAC,88.0,41.808695,40.37189,39.490976,39.510891,39.274136,37.2729,36.781456,35.52712,36.445861,37.712196,37.712196,37.712196,102.0,0.529,0.531,0.528,0.525,0.519,0.515,0.513,0.508,0.508,0.499,0.497,0.495,0.5,0.494,0.492,0.488,0.491,0.493,0.491,0.488,0.464,0.463,0.462,0.46,0.433,0.43,0.427,0.427,0.427,0.423,0.425,0.424,18.47595,18.21465,17.96652,17.62778,17.09953,16.71489,16.19259,15.84659,15.27502,14.64929,14.64929,14.64929,-74.082,4.60987
COM,Comoros,Africa,Southern Hemisphere,Medium,SSA,156.0,,,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,56.01338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,43.2418,-11.6986
CPV,Cabo Verde,Africa,Northern Hemisphere,Medium,SSA,128.0,28.04,28.04,28.04,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.402,0.391,0.385,0.379,0.378,0.376,0.349,,,,,,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,27.38759118,-23.5087,14.9218
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58.0,33.397656,34.333636,34.284901,35.154184,34.245561,33.923669,34.221197,33.598361,33.466884,33.41354,33.41354,33.41354,60.0,0.478,0.478,0.47,0.467,0.466,0.464,0.465,0.453,0.43,0.432,0.427,0.407,0.368,0.364,0.363,0.348,0.346,0.334,0.333,0.33,0.333,0.326,0.318,0.313,0.318,0.31,0.312,0.307,0.285,0.269,0.259,0.256,13.8051,12.91043,13.01343,12.42771,12.2896,11.91329,12.18311,11.9393,11.58937,11.57677,11.57677,11.57677,-84.0089,9.63701
CUB,Cuba,America,Northern Hemisphere,High,LAC,83.0,,,,,,,,,,,,,73.0,0.439,0.432,0.434,0.43,0.427,0.421,0.408,0.403,0.386,0.378,0.369,0.363,0.358,0.338,0.332,0.328,0.315,0.321,0.325,0.33,0.333,0.329,0.323,0.318,0.313,0.312,0.309,0.31,0.309,0.307,0.307,0.303,,11.25588,11.25588,11.25588,10.93381,10.93381,10.93381,7.81109,7.81109,9.09712,9.09712,9.09712,-82.3667,23.1333
CYP,Cyprus,Asia,Northern Hemisphere,Very High,,29.0,13.60216,14.88187,14.97115,15.90818,17.50429,17.50429,16.40136,14.28251,13.09041,13.09041,13.03255,13.03255,35.0,0.361,0.355,0.36,0.331,0.331,0.316,0.285,0.267,0.27,0.255,0.239,0.174,0.166,0.163,0.138,0.142,0.133,0.123,0.125,0.131,0.13,0.137,0.138,0.131,0.117,0.117,0.101,0.105,0.11,0.109,0.104,0.123,16.28618,13.97747,13.14751,12.40564,12.68604,11.70944,11.7125,11.03766,10.47803,10.47803,9.5209,9.5209,33.3736,35.1676
CZE,Czechia,Europe,Northern Hemisphere,Very High,,32.0,10.69114,11.31482,10.97887,11.07131,10.73835,10.73835,10.43108,9.20949,8.71736,8.71736,8.7672,8.7672,34.0,0.29,0.293,0.284,0.276,0.249,0.229,0.214,0.205,0.197,0.188,0.176,0.165,0.163,0.154,0.153,0.152,0.151,0.156,0.154,0.156,0.139,0.138,0.142,0.145,0.146,0.139,0.138,0.133,0.129,0.124,0.125,0.12,1.32297,1.38564,1.39045,1.37273,1.6132,1.52944,1.60035,1.37701,1.38824,1.38824,1.25563,1.25563,,
DEU,Germany,Europe,Northern Hemisphere,Very High,,9.0,14.54559,14.81088,14.0549,14.75045,17.46195,17.46195,15.73535,15.73535,15.73535,12.46003,12.46003,12.46003,19.0,0.183,0.172,0.162,0.152,0.144,0.14,0.14,0.139,0.136,0.127,0.133,0.129,0.121,0.114,0.107,0.108,0.105,0.105,0.103,0.098,0.096,0.09,0.087,0.078,0.078,0.078,0.085,0.087,0.083,0.079,0.077,0.073,,2.40336,2.44114,2.58042,2.60524,2.60524,2.7227,2.7227,2.7227,2.6632,2.6632,2.6632,13.4115,52.5235
DJI,Djibouti,Africa,Northern Hemisphere,Low,AS,171.0,21.70879,21.70879,30.03165892,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.974,46.974,,,,,,,,,,,43.1425,11.5806
DMA,Dominica,America,Northern Hemisphere,High,LAC,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.39,15.2976
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6.0,10.95581,13.32469,14.3998,12.79628,13.46361,12.26297,11.48358,11.39151,10.88624,10.88624,10.05068,10.05068,1.0,0.09,0.09,0.094,0.091,0.093,0.093,0.087,0.089,0.079,0.077,0.075,0.071,0.062,0.058,0.055,0.055,0.056,0.054,0.056,0.051,0.049,0.044,0.042,0.039,0.035,0.035,0.034,0.027,0.022,0.016,0.013,0.013,3.07575,3.06147,2.96127,2.97301,4.5676,4.33284,4.29257,3.01486,2.90482,2.90482,2.50376,2.50376,12.5681,55.6763
